LastLoadStatisticsDate,Gender,AgeGroup,PatientCount
2021-12-31T00:00:00+02:00,Male,0-4,93
2021-12-31T00:00:00+02:00,Female,0-4,100
2021-12-31T00:00:00+02:00,Male,9-May,29
2021-12-31T00:00:00+02:00,Female,9-May,23
2021-12-31T00:00:00+02:00,Male,14-Oct,48
2021-12-31T00:00:00+02:00,Female,14-Oct,26
2021-12-31T00:00:00+02:00,Female,15-19,40
2021-12-31T00:00:00+02:00,Male,15-19,31
2021-12-31T00:00:00+02:00,Female,20-24,65
2021-12-31T00:00:00+02:00,Male,20-24,36
2021-12-31T00:00:00+02:00,Female,25-29,135
2021-12-31T00:00:00+02:00,Male,25-29,52
2021-12-31T00:00:00+02:00,Male,30-34,142
2021-12-31T00:00:00+02:00,Female,30-34,203
2021-12-31T00:00:00+02:00,Female,35-39,210
2021-12-31T00:00:00+02:00,Male,35-39,197
2021-12-31T00:00:00+02:00,Male,40-44,282
2021-12-31T00:00:00+02:00,Female,40-44,176
2021-12-31T00:00:00+02:00,Male,45-49,353
2021-12-31T00:00:00+02:00,Female,45-49,198
2021-12-31T00:00:00+02:00,Male,50-54,427
2021-12-31T00:00:00+02:00,Female,50-54,309
2021-12-31T00:00:00+02:00,Female,55-59,397
2021-12-31T00:00:00+02:00,Male,55-59,543
2021-12-31T00:00:00+02:00,Male,60-64,702
2021-12-31T00:00:00+02:00,Female,60-64,602
2021-12-31T00:00:00+02:00,Male,65-69,789
2021-12-31T00:00:00+02:00,Female,65-69,681
2021-12-31T00:00:00+02:00,Female,70-74,812
2021-12-31T00:00:00+02:00,Male,70-74,828
2021-12-31T00:00:00+02:00,Female,75-79,732
2021-12-31T00:00:00+02:00,Male,75-79,546
2021-12-31T00:00:00+02:00,Female,80-84,1070
2021-12-31T00:00:00+02:00,Male,80-84,656
2021-12-31T00:00:00+02:00,Male,üle 85,567
2021-12-31T00:00:00+02:00,Female,üle 85,1524
